image_name,prompt,answer,Steered,no_steer
73307_1_E1_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
idp91095a.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
idp1254t.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Artifact.,Artifact.
170434_1_E2_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Background ring.,Artifact.
kur4-6.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
B1_3_0001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
idp01892a.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Artifact.,Artifact.
131032_3_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
p41-m3f2suc2.0001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Artifact.,Artifact.
109429_M2_G5_data.0001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
idp02536-1a_B.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Artifact.,Artifact.
tlg6_6_1_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
19427_1_E1_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Artifact.,Artifact.
134085_1_E2_0001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
170415_2_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
89651_1_E1_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
18574_1_E1_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
170415_1_E2_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Artifact.,Artifact.
mcr7-9_2_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Ice ring.,Artifact.
134085_1_E1_0001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Ice ring.,Artifact.,Artifact.
157568_1_E2_0001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Ice ring.,Artifact.
157568_2_0001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Ice ring.,Artifact.
130568_2_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Background ring.,Background ring.
106264_2_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Background ring.,Background ring.
151666_1_E1_0001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Ice ring.,Artifact.
105616_1_E1_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Background ring.,Background ring.
63581_1_E1.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Background ring.,Background ring.
2557_1_E2_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Artifact.,Artifact.
38434_1_E1_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Ice ring.,Artifact.
T3702_1_E1_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Background ring.,Background ring.
157568_1_E1_0001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Ice ring.,Artifact.
12996_3_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Ice ring.,Artifact.
61258_1_E1_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Ice ring.,Artifact.
105648_1_E1_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Background ring.,Artifact.
11014_2_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Artifact.,Artifact.
125499_1_E1_001.png,"This is a 2D X-ray diffraction (XRD) image with anomalies in it. The possible anomaly options are:
Options:

Background ring, 
Ice ring, 
Artifact, 
Diffuse scattering, 
Strong background, 
Non-uniform detector, 
Loop scattering,
No distinct anomalies.

Choose the correct option. 
IMPORTANT: Please do not provide any explanation. Just the anomaly option name.",Loop scattering.,Background ring.,Background ring.
